TÃ­tulo,ID del Producto,Marca Detectada,Vendedor,Precio
Motorola Moto G Play 2024,6991417527856887555,Motorola,Walmart,39.88
Samsung Galaxy A15 5G,14670333478014388754,Samsung,Walmart,49.88
Motorola Moto G 5G 2024,2570819822051144303,Motorola,Best Buy,49.99
Motorola Moto g 2025,12474433527547998352,Motorola,Walmart,79.88
Samsung Galaxy S25 Ultra,9894093857410553981,Samsung,Best Buy,999.99
Samsung Galaxy A36 5G,17544603280532927395,Samsung,Boost Mobile,99.99
Motorola Moto G Power 5G 2024,16768952130088763242,Motorola,Best Buy,74.99
Apple iPhone 14,5899694665380703581,Apple,Walmart,399.0
Apple iPhone 13,6203781335732593320,Apple,eBay - mistyelectronics,369.99
Samsung Galaxy S24 FE,7250299206865938186,Samsung,Best Buy,549.99
Restored Apple iPhone 15 Plus,7324123235083759451,Apple,Apple,829.0
Samsung Galaxy S25 Edge,13631368590870777196,Samsung,Samsung,969.99
