TÃ­tulo,ID del Producto,Marca Detectada,Vendedor,Precio,Precio en Soles
Nintendo Switch 2 + Mario Kart World Bundle,5106592749637493554,Nintendo,GameStop,499.99,1769.96
Nintendo Switch 2,2209987801889840605,Nintendo,Nintendo,449.99,1592.96
Microsoft Xbox Series X 1TB Console,18645849156115410,Microsoft,xbox.com,599.99,2123.96
"ASUS ROG Ally 7"" 120Hz Gaming Handheld RC71L-ALLY.Z1X_512",13335655554420684740,Asus,ASUS Store US,449.99,1592.96
Sony PlayStation 5 Slim Disc Edition,3068816049362811349,Sony,Best Buy,499.99,1769.96
Microsoft Xbox Series X 1TB Digital Console,9266308480439568048,Microsoft,Sam's Club,548.9,1943.11
Nintendo Switch Oled,677266012090103084,Nintendo,eBay,390.0,1380.6
Nintendo Switch Mario Kart 8 Deluxe Bundle,3540310357585178220,Nintendo,Best Buy,299.99,1061.96
Microsoft Xbox Series S Console,2250081490445831506,Microsoft,Walmart - Seller,358.5,1269.09
Sony PlayStation 5 Slim Console,1974369455608953604,Sony,GameStop,449.99,1592.96
Sony PlayStation 5 Digital Edition Console,4887235756540435899,Sony,PlayStation,449.99,1592.96
Nintendo Switch,6551133678736630313,Nintendo,Walmart,299.0,1058.46
Sony PlayStation 5 Pro Console,17823632577842932598,Sony,GameStop,699.99,2477.96
Sony PlayStation 5 Pro Bundle,11909247385574486213,Sony,PlayStation,699.99,2477.96
Nintendo Switch Lite,4505166624001087642,Nintendo,Target,199.99,707.96
Microsoft Xbox Serie x 2022 1TB SSD Zen 2 Eight-Core CPU 16GB GDDR6 Blu,7403444389057984061,Microsoft,Walmart - Seller,699.0,2474.46
"Asus ROG Ally X 7"" 120Hz FHD 1080p Gaming Handheld RC72LA",10094603491061223998,Asus,Best Buy,899.99,3185.96
Sony PlayStation 5 Console,16230039729797264158,Sony,PlayStation,499.99,1769.96
Sony PlayStation Portal Remote Player,8268589607662500719,Sony,Best Buy,199.99,707.96
